,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,31.61,28.392,28.037,28.507,28.507,29.055,27.916,28.714,28.142,28.142,29.021,28.564,28.528,28.364,28.275,28.575,28.051,28.396,28.5,28.531,28.271,28.1,28.316,28.477,28.452,28.452,28.447
1,-56.937,-53.964,-54.07,-54.484,-54.525,-55.262,-54.124,-54.818,-54.347,-54.347,-55.061,-54.627,-54.684,-54.519,-54.405,-54.73,-54.248,-54.58,-54.619,-54.759,-54.435,-54.303,-54.508,-54.627,-54.604,-54.604,-54.601
2,-5.1512,-4.7279,-4.7161,-4.8542,-4.8881,-4.6811,-4.6946,-4.7975,-4.7155,-4.7155,-4.8706,-4.8454,-4.7569,-4.7603,-4.781,-4.7602,-4.7156,-4.7295,-4.7943,-4.6855,-4.749,-4.7109,-4.7228,-4.7624,-4.7613,-4.7613,-4.7591
3,-0.050128,-0.03923,-0.037891,-0.044973,-0.044935,-0.039729,-0.040458,-0.040483,-0.0405,-0.0405,-0.0428,-0.043724,-0.039876,-0.040471,-0.042112,-0.040823,-0.040254,-0.040732,-0.041408,-0.039926,-0.040943,-0.040366,-0.040411,-0.040895,-0.041131,-0.041131,-0.041143
4,-1.67e-05,-1.5045e-05,-1.5743e-05,-1.8611e-05,-1.8217e-05,-1.5995e-05,-1.568e-05,-1.5212e-05,-1.6034e-05,-1.6034e-05,-1.7439e-05,-1.7727e-05,-1.5891e-05,-1.6018e-05,-1.7192e-05,-1.6497e-05,-1.5769e-05,-1.6194e-05,-1.6519e-05,-1.5707e-05,-1.6148e-05,-1.5899e-05,-1.591e-05,-1.6188e-05,-1.6347e-05,-1.6347e-05,-1.6344e-05
5,4.1448,3.3278,3.7608,3.8144,3.9326,3.8707,3.9125,3.9055,3.8935,3.8935,3.8965,3.9051,3.8954,3.8979,3.898,3.9022,3.8926,3.9001,3.8984,3.8975,3.8984,3.8982,3.8991,3.8982,3.8977,3.8977,3.898
6,0.37257,0.057039,0.16916,0.13418,0.18408,0.20094,0.18995,0.18384,0.19978,0.19978,0.19476,0.18792,0.19748,0.19514,0.19291,0.19098,0.19552,0.19224,0.19211,0.192,0.19134,0.1919,0.19187,0.19124,0.19159,0.19159,0.19228
7,0.05057,0.021207,0.036885,0.034432,0.034207,0.035626,0.030225,0.031381,0.035364,0.035364,0.034121,0.032176,0.033776,0.032012,0.033198,0.031017,0.0344,0.030623,0.031967,0.032703,0.032756,0.032739,0.032962,0.032512,0.033075,0.033075,0.032456
8,0.0032827,-0.00012824,3.9862e-05,0.00068337,0.00048721,-0.00015529,0.00202,0.00097533,-0.00024008,-0.00024008,-5.7701e-06,0.00074137,0.00055715,0.0015135,0.00058734,0.0020547,9.731e-05,0.0024659,0.0014742,0.00084852,0.00087587,0.00086602,0.0007371,0.0010226,0.00069865,0.00069865,0.0010974
9,1.27e-05,-1.1928e-05,2.5785e-05,1.7445e-05,4.7351e-05,0.0001153,0.00023494,0.00020217,4.2753e-05,4.2753e-05,6.1337e-05,0.00011591,0.00011222,0.00014438,0.00014443,0.0001122,0.00020714,6.4638e-05,0.00019227,0.00019092,0.00019248,0.00018652,0.00021265,0.00018466,0.00019255,0.00019255,0.00020437
10,2.5715e-05,8.969e-05,0.00013418,0.00010926,6.0901e-05,5.9514e-05,2.5521e-05,1.9488e-05,0.00019724,0.00019724,0.00016286,9.3727e-05,0.00010935,6.4681e-05,7.261e-05,9.7776e-05,2.088e-05,0.00015207,1.2983e-05,2.9918e-05,1.7092e-05,2.3934e-05,6.5615e-06,2.5831e-05,1.6672e-05,1.6672e-05,7.6527e-06
11,2.9223e-06,2.089e-05,1.2498e-05,3.0324e-06,3.8627e-05,2.6894e-05,3.8658e-05,2.4621e-05,2.268e-06,2.268e-06,8.7084e-06,2.0303e-05,6.5234e-06,1.658e-05,9.5569e-06,1.7225e-05,3.5403e-06,1.6923e-05,1.3999e-05,1.2152e-05,1.2596e-05,1.2392e-05,,1.2583e-05,1.0233e-05,1.0233e-05,
12,,-3.2074e-07,-3.3695e-07,,3.7562e-06,2.4799e-06,-2.6558e-06,-4.931e-07,,,,-1.6845e-06,,-1.9329e-06,,-1.7167e-06,,-1.5789e-06,-1.309e-06,-1.8592e-06,-1.3734e-06,-1.9118e-06,,-1.2279e-06,-1.6116e-06,-1.6116e-06,
