,0,1,2,3,4,5,6,7,8
0,55.714,52.875,53.083,51.447,52.691,54.006,53.805,52.963,53.848
1,-115.15,-113.16,-113.48,-112.26,-113.19,-114.18,-114.34,-113.45,-114.12
2,-10.089,-10.498,-10.442,-9.9908,-10.358,-10.634,-10.316,-10.343,-10.553
3,-0.12584,-0.13082,-0.13502,-0.12725,-0.13689,-0.14355,-0.1311,-0.13418,-0.13757
4,-9.9046e-05,-9.5514e-05,-9.7628e-05,-9.2034e-05,-0.0001003,-0.00010509,-9.6434e-05,-9.7854e-05,-0.00010036
5,8.2013,7.9438,8.0207,7.9146,7.9607,7.9277,7.9752,7.9512,7.9343
6,0.86399,0.90532,0.95159,0.92769,0.95032,0.93035,0.93763,0.943,0.93089
7,0.044401,0.037682,0.037029,0.038306,0.034178,0.031558,0.025501,0.027773,0.028943
8,0.0088713,0.011969,0.017673,0.01105,0.018014,0.019564,0.028042,0.025923,0.022401
9,0.0034753,0.00027414,-0.00015236,-0.00021559,-0.00034466,-0.00035834,-0.00039651,-0.00017091,0.00073128
10,-0.00047956,-0.00037008,0.00031519,0.0002972,0.0007151,0.00054737,0.00033223,0.0010514,0.00033431
11,0.00011707,0.00018625,0.00015452,3.5799e-05,3.3721e-05,3.3362e-06,0.00022616,0.00011377,1.2802e-05
12,5.2109e-05,3.5268e-05,6.7506e-05,2.8029e-05,1.5705e-05,,9.9647e-05,7.9291e-05,1.2863e-05
13,0.00015946,3.7258e-05,4.9278e-07,1.7238e-06,2.188e-06,,-1.324e-06,4.473e-07,-6.011e-08
14,1.3689e-05,3.2189e-06,,,,,,,
15,4.451e-06,,,,,,,,
