,0,1,2,3,4,5,6
0,198.13,194.62,195.33,195.77,195.74,195.94,195.77
1,-190.37,-187.5,-188.14,-188.45,-188.44,-188.59,-188.45
2,-21.263,-20.667,-20.733,-20.86,-20.831,-20.885,-20.859
3,-0.21588,-0.20536,-0.20753,-0.21054,-0.20911,-0.2102,-0.20992
4,-0.00011053,-9.9734e-05,-0.00010187,-0.00010302,-0.00010206,-0.00010312,-0.00010275
5,1.5738,1.5495,1.5577,1.5568,1.5588,1.56,1.5596
6,0.98976,1.0062,0.99662,0.99606,0.99403,0.99297,0.99339
7,0.036879,0.031178,0.034012,0.033915,0.033571,0.033769,0.033745
8,0.0036637,0.0058083,0.0045722,0.0046326,0.0047351,0.0046459,0.0046623
9,-8.25e-06,1.6148e-05,1.0305e-06,1.9056e-06,4.9386e-06,3.8418e-06,4.0137e-06
10,,3.6043e-06,,,,,
