,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,24.073,24.908,24.718,24.377,24.214,24.146,23.95,24.21,24.096,24.109,24.328,24.265,24.088,24.203,24.231,24.237
1,-27.884,-28.724,-28.543,-28.246,-28.086,-28.005,-27.822,-28.072,-27.964,-27.97,-28.185,-28.121,-27.957,-28.061,-28.088,-28.097
2,-0.71203,-0.75534,-0.76131,-0.71848,-0.71341,-0.72247,-0.7116,-0.72145,-0.71563,-0.72211,-0.72638,-0.7264,-0.71406,-0.72524,-0.72646,-0.72238
3,-0.00030508,-0.0003822,-0.00037395,-0.00031307,-0.00030718,-0.00032269,-0.00031656,-0.00033558,-0.00032069,-0.00032332,-0.00032812,-0.00032903,-0.00031638,-0.00033265,-0.00033002,-0.00032614
4,-1.0623e-09,-1.4254e-09,-2.3419e-09,-1.1592e-09,-1.872e-09,-1.5796e-09,-1.3326e-09,-1.3824e-09,-1.5737e-09,-9.1882e-10,-2.0268e-09,-1.3727e-09,-6.7803e-10,-1.2158e-09,-1.2037e-09,-1.528e-09
5,0.50689,0.53375,0.50981,0.51888,0.51803,0.51714,0.5204,0.51981,0.52036,0.51822,0.5183,0.51953,0.51948,0.51841,0.51948,0.51966
6,0.36805,0.3178,0.33617,0.33224,0.33284,0.33371,0.32983,0.33171,0.33122,0.33214,0.33227,0.33166,0.33151,0.33185,0.33111,0.33097
7,0.011613,0.012876,0.010455,0.011557,0.010963,0.01095,0.011804,0.011788,0.011997,0.01152,0.011555,0.011723,0.011615,0.0115,0.011525,0.011569
8,0.0013623,0.0010885,0.0020519,0.0015594,0.0018289,0.0018223,0.0014378,0.0014891,0.0013884,0.0015957,0.0015514,0.0014843,0.0015425,0.0015919,0.0015703,0.0015547
9,2.9882e-05,-2.9844e-06,3.9853e-06,4.8214e-07,2.1112e-06,3.8238e-06,1.1125e-06,-5.2475e-07,5.9581e-07,9.2521e-07,2.3155e-06,1.9406e-06,1.0712e-06,1.1285e-06,1.6068e-06,1.3421e-06
10,-2.8004e-06,,,,,,,,,,,,,,,
