,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,389.72,385.89,383.82,380.24,381.27,382.3,380.64,383.33,381.97,382.34,384.31,382.0,383.48,383.0,383.62,382.61,382.27,382.67
1,-357.2,-354.51,-352.85,-350.33,-351.09,-352.03,-350.86,-352.62,-351.46,-352.0,-353.19,-351.69,-352.67,-352.34,-352.84,-352.03,-351.83,-352.13
2,-53.932,-53.785,-52.715,-51.833,-51.941,-51.896,-51.592,-52.463,-52.307,-52.102,-52.852,-52.075,-52.533,-52.271,-52.388,-52.329,-52.202,-52.294
3,-1.2025,-1.2288,-1.1859,-1.1492,-1.1446,-1.1422,-1.1068,-1.1664,-1.1642,-1.151,-1.183,-1.1453,-1.1701,-1.1597,-1.1641,-1.1585,-1.1508,-1.159
4,-0.0020918,-0.0020991,-0.0020726,-0.0019932,-0.0019662,-0.0019529,-0.0018731,-0.0020169,-0.0020072,-0.001979,-0.0020649,-0.0019663,-0.0020387,-0.0020001,-0.0020234,-0.0019967,-0.0019837,-0.0020004
5,2.5479,2.655,2.5709,2.5959,2.6416,2.4533,2.6138,2.6147,2.6265,2.6179,2.6103,2.609,2.6041,2.4531,2.4531,2.6129,2.6113,2.637
6,1.8317,1.5242,1.7321,1.6517,1.5925,1.7828,1.6346,1.6405,1.6105,1.6393,1.6449,1.6492,1.6377,1.783,1.7829,1.6463,1.6467,1.6285
7,0.052163,0.049525,0.049907,0.04999,0.052427,0.044579,0.050406,0.052136,0.053728,0.052972,0.052748,0.052392,0.05194,0.04468,0.0447,0.05284,0.052485,0.056547
8,0.0079584,0.0095119,0.0092961,0.009228,0.0083718,0.012444,0.0094065,0.0084889,0.0079346,0.0081648,0.008231,0.0083866,0.0085378,0.012429,0.012425,0.0081756,0.0083356,0.0068864
9,5.5528e-05,-4.5523e-05,4.0975e-05,9.0114e-06,-1.9607e-05,-1.3404e-06,-8.932e-06,-1.099e-05,-4.5553e-05,-2.1049e-05,-1.6259e-05,-1.1542e-05,-1.3801e-05,-6.8436e-06,-9.0975e-06,-1.3514e-05,-1.2731e-05,-5.3278e-05
10,8.3529e-05,-6.0578e-08,-1.7342e-07,3.4382e-06,5.7115e-06,-8.1077e-06,2.6514e-06,2.1207e-06,4.661e-06,2.9001e-06,9.1113e-07,2.281e-06,2.3138e-06,-4.2947e-06,-4.2104e-07,1.1582e-06,1.2734e-06,1.802e-06
11,-6.5335e-06,,,,,,,,,,,,,,,,,
12,1.2471e-05,,,,,,,,,,,,,,,,,
13,2.7097e-07,,,,,,,,,,,,,,,,,
