,0,1,2,3,4,5,6,7,8
0,124.86,124.42,123.82,126.55,124.33,125.07,125.92,125.54,125.93
1,-170.1,-170.58,-170.0,-172.54,-170.32,-171.48,-172.37,-171.53,-172.14
2,-6.0535,-5.7599,-5.9923,-6.0709,-6.1154,-6.1102,-6.1342,-6.1095,-6.1609
3,-0.027218,-0.025926,-0.03221,-0.028831,-0.03128,-0.032079,-0.033622,-0.030966,-0.029847
4,-0.00031042,-0.00028996,-0.00036717,-0.00032844,-0.00035745,-0.00036452,-0.00038125,-0.00034881,-0.00033192
5,2.3707,2.2531,2.1011,2.1187,2.1118,2.2394,2.0719,2.1507,2.2456
6,0.80012,0.55842,0.70111,0.65549,0.70766,0.69028,0.65487,0.69915,0.64958
7,0.011414,0.016366,0.0088709,0.010777,0.0098048,0.010374,0.0095266,0.009872,0.010772
8,0.0044432,0.0018025,0.0015064,0.0023323,0.0011054,0.00073121,0.0010431,0.00091622,0.00052111
9,-8.253e-06,0.00040986,-3.1441e-05,-3.4167e-05,-3.4836e-05,-3.6629e-05,-3.2492e-05,-3.5069e-05,-4.2479e-05
10,,1.0367e-05,-9.8339e-06,-1.6575e-06,-2.5946e-06,-6.0394e-06,-7.3524e-06,7.4755e-07,-3.9297e-08
11,,9.4778e-06,,,,,,,
