,0,1,2,3,4
0,51.069,49.713,50.344,50.22,50.645
1,-83.427,-81.885,-82.44,-82.315,-82.727
2,-8.8512,-8.9451,-9.0223,-9.0242,-9.0371
3,-0.15219,-0.15192,-0.15187,-0.15331,-0.15324
4,-0.00028858,-0.00028142,-0.00028339,-0.0002845,-0.00028472
5,5.3479,5.1878,5.1923,5.1986,5.1978
6,0.26559,0.25877,0.26223,0.25922,0.25674
7,0.034784,0.044519,0.043244,0.041077,0.041941
8,0.0079741,0.00032737,0.00099242,0.0022631,0.0015756
9,6.2849e-06,2.5827e-05,7.6074e-05,7.2015e-05,0.00014902
10,0.00031489,0.00016231,0.00019872,0.00011545,5.028e-05
11,2.1156e-05,2.2876e-05,1.9141e-05,2.8369e-05,3.0816e-05
12,1.857e-05,8.1414e-06,4.8362e-06,6.3254e-07,-4.22e-07
13,-2.6628e-06,,,,
