 ID , nKIBZ , ener , err, nAtoms 
Al_1 wMethod,1,-2.861107700000,883.019201000000,1
Al_1 wMethod,2,-2.841003500000,903.123401000000,1
Al_1 wMethod,3,-3.813528500000,69.401601000000,1
Al_1 wMethod,6,-4.021438800000,277.311901000000,1
Al_1 wMethod,9,-3.691828300000,52.298601000000,1
Al_1 wMethod,14,-3.759789600000,15.662701000000,1
Al_1 wMethod,19,-3.752809800000, 8.682901000000,1
Al_1 wMethod,26,-3.713499000000,30.627901000000,1
Al_1 wMethod,35,-3.759382000000,15.255101000000,1
Al_1 wMethod,44,-3.785831100000,41.704201000000,1
Al_1 wMethod,52,-3.735359500000, 8.767401000000,1
Al_1 wMethod,67,-3.741388700000, 2.738201000000,1
Al_1 wMethod,78,-3.749563500000, 5.436601000000,1
Al_1 wMethod,97,-3.734444000000, 9.682901000000,1
Al_1 wMethod,113,-3.742732800000, 1.394101000000,1
Al_1 wMethod,134,-3.742080900000, 2.046001000000,1
Al_1 wMethod,161,-3.738456600000, 5.670301000000,1
Al_1 wMethod,185,-3.742886400000, 1.240501000000,1
Al_1 wMethod,216,-3.744126900000, 0.000001000000,1
Al_10 wMethod,15,-3.726797900000,17.329001000000,10
Al_10 wMethod,25,-3.711149400000,32.977501000000,10
Al_10 wMethod,32,-3.719708100000,24.418801000000,10
Al_10 wMethod,86,-3.748100500000, 3.973601000001,10
Al_10 wMethod,116,-3.744217300000, 0.090401000000,10
Al_10 wMethod,138,-3.743148200000, 0.978701000000,10
Al_10 wMethod,253,-3.744089500000, 0.037401000000,10
Al_10 wMethod,287,-3.744224100000, 0.097201000000,10
Al_10 wMethod,353,-3.743624300000, 0.502601000000,10
Al_10 wMethod,536,-3.744942200000, 0.815301000000,10
Al_10 wMethod,630,-3.744425600000, 0.298701000001,10
Al_10 wMethod,713,-3.744126900000, 0.000001000000,10
Al_11 wMethod,1,-3.168924363636,576.399819181818,11
Al_11 wMethod,12,-3.739204454545, 6.119728272728,11
Al_11 wMethod,23,-3.748701000000, 3.376819181818,11
Al_11 wMethod,57,-3.755380909091,10.056728272727,11
Al_11 wMethod,72,-3.751792636364, 6.468455545455,11
Al_11 wMethod,138,-3.750633000000, 5.308819181818,11
Al_11 wMethod,210,-3.746527454545, 1.203273727273,11
Al_11 wMethod,313,-3.745673272727, 0.349091909091,11
Al_11 wMethod,444,-3.745324181818, 0.000001000000,11
Al_2 wMethod,1,-2.781918400000,961.516001000000,2
Al_2 wMethod,1,-2.790921700000,952.512701000000,2
Al_2 wMethod,4,-3.980257100000,236.822701000000,2
Al_2 wMethod,8,-3.820352850000,76.918451000000,2
Al_2 wMethod,14,-3.804682900000,61.248501000000,2
Al_2 wMethod,24,-3.728275350000,15.159051000000,2
Al_2 wMethod,35,-3.727891100000,15.543301000000,2
Al_2 wMethod,54,-3.750162950000, 6.728551000000,2
Al_2 wMethod,75,-3.751543100000, 8.108701000000,2
Al_2 wMethod,101,-3.749674250000, 6.239851000000,2
Al_2 wMethod,133,-3.739376200000, 4.058201000000,2
Al_2 wMethod,173,-3.748413150000, 4.978751000000,2
Al_2 wMethod,215,-3.743497850000, 0.063451000000,2
Al_2 wMethod,262,-3.745942650000, 2.508251000000,2
Al_2 wMethod,320,-3.745667000000, 2.232601000000,2
Al_2 wMethod,386,-3.744965250000, 1.530851000000,2
Al_2 wMethod,461,-3.744065450000, 0.631051000000,2
Al_2 wMethod,544,-3.743434400000, 0.000001000000,2
Al_3 wMethod,2,-3.441779333333,302.102667666666,3
Al_3 wMethod,3,-3.665292333333,78.589667666666,3
Al_3 wMethod,6,-3.988560000000,244.678001000000,3
Al_3 wMethod,12,-3.722388333333,21.493667666666,3
Al_3 wMethod,22,-3.786679333333,42.797334333334,3
Al_3 wMethod,30,-3.757990333333,14.108334333334,3
Al_3 wMethod,48,-3.744731000000, 0.849001000000,3
Al_3 wMethod,73,-3.752465000000, 8.583001000001,3
Al_3 wMethod,91,-3.742542333333, 1.339667666667,3
Al_3 wMethod,128,-3.745029666667, 1.147667666667,3
Al_3 wMethod,171,-3.747547333333, 3.665334333334,3
Al_3 wMethod,203,-3.742059000000, 1.823001000000,3
Al_3 wMethod,260,-3.743336000000, 0.546001000000,3
Al_3 wMethod,330,-3.744788333333, 0.906334333334,3
Al_3 wMethod,380,-3.742285333333, 1.596667666666,3
Al_3 wMethod,468,-3.743054333333, 0.827667666666,3
Al_3 wMethod,507,-3.744757000000, 0.875001000000,3
Al_3 wMethod,572,-3.743882000000, 0.000001000000,3
Al_4 wMethod,2,-3.749026250000, 6.434251000000,4
Al_4 wMethod,6,-4.034179500000,291.587500999999,4
Al_4 wMethod,13,-3.732287000000,10.305001000000,4
Al_4 wMethod,18,-3.786667250000,44.075251000000,4
Al_4 wMethod,34,-3.741233000000, 1.359001000000,4
Al_4 wMethod,56,-3.748618250000, 6.026251000000,4
Al_4 wMethod,77,-3.745516500000, 2.924501000000,4
Al_4 wMethod,115,-3.741392750000, 1.199251000000,4
Al_4 wMethod,149,-3.745274250000, 2.682251000000,4
Al_4 wMethod,187,-3.745249750000, 2.657751000000,4
Al_4 wMethod,246,-3.744258250000, 1.666251000000,4
Al_4 wMethod,299,-3.744999000000, 2.407001000000,4
Al_4 wMethod,385,-3.744708500000, 2.116501000000,4
Al_4 wMethod,479,-3.742592000000, 0.000001000000,4
Al_5 wMethod,6,-3.758524000000,15.408001000000,5
Al_5 wMethod,6,-3.750270000000, 7.154001000000,5
Al_5 wMethod,10,-3.741046000000, 2.070001000000,5
Al_5 wMethod,15,-3.736410400000, 6.705601000000,5
Al_5 wMethod,30,-3.749568200000, 6.452201000000,5
Al_5 wMethod,36,-3.737897600000, 5.218401000000,5
Al_5 wMethod,49,-3.746925400000, 3.809401000000,5
Al_5 wMethod,56,-3.743158800000, 0.042801000000,5
Al_5 wMethod,100,-3.742431000000, 0.685001000000,5
Al_5 wMethod,126,-3.741255600000, 1.860401000000,5
Al_5 wMethod,135,-3.743111200000, 0.004801000000,5
Al_5 wMethod,210,-3.742042400000, 1.073601000000,5
Al_5 wMethod,242,-3.743940200000, 0.824201000000,5
Al_5 wMethod,276,-3.743255600000, 0.139601000000,5
Al_5 wMethod,300,-3.743591400000, 0.475401000000,5
Al_5 wMethod,429,-3.742307200000, 0.808801000000,5
Al_5 wMethod,469,-3.743090000000, 0.026001000000,5
Al_5 wMethod,525,-3.743525600000, 0.409601000001,5
Al_5 wMethod,570,-3.743116000000, 0.000001000000,5
Al_6 wMethod,4,-3.840609500000,96.493334333333,6
Al_6 wMethod,8,-3.731521500000,12.594667666667,6
Al_6 wMethod,9,-3.734142000000, 9.974167666666,6
Al_6 wMethod,28,-3.727648500000,16.467667666666,6
