,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,41.692,41.692,41.014,41.655,43.062,41.884,41.588,41.429,42.529,42.478,41.769,42.334,42.647,42.194,42.543,42.249,42.302,42.329,42.467,42.185,42.421,42.211,42.528,42.528,42.528,42.271,42.215,42.406,42.361,42.412,42.493,42.414,42.43,42.314,42.378,42.357,42.365,42.421,42.47,42.299
1,-75.01,-75.01,-73.604,-74.053,-75.589,-74.421,-74.089,-73.892,-74.999,-74.919,-74.217,-74.753,-75.099,-74.642,-74.991,-74.676,-74.744,-74.778,-74.914,-74.648,-74.874,-74.657,-74.956,-74.956,-74.956,-74.737,-74.668,-74.843,-74.805,-74.859,-74.931,-74.852,-74.876,-74.762,-74.82,-74.801,-74.814,-74.856,-74.908,-74.751
2,-3.1321,-3.1321,-2.8275,-3.0437,-3.0554,-2.946,-2.9487,-3.0096,-2.9891,-3.0282,-3.0296,-3.0491,-3.0161,-3.0202,-3.0209,-3.0411,-3.0266,-3.0209,-3.0215,-3.0059,-3.0166,-3.023,-3.0406,-3.0406,-3.0406,-3.0035,-3.0171,-3.0314,-3.0256,-3.0223,-3.0311,-3.0317,-3.0235,-3.0211,-3.0275,-3.0254,-3.0203,-3.0346,-3.031,-3.0182
3,-0.027763,-0.027763,-0.024526,-0.02807,-0.027181,-0.026498,-0.026415,-0.027168,-0.026775,-0.027105,-0.027285,-0.027626,-0.027124,-0.027262,-0.027158,-0.027485,-0.027233,-0.027182,-0.027274,-0.027142,-0.027078,-0.027256,-0.027419,-0.027419,-0.027419,-0.027005,-0.027203,-0.027305,-0.027234,-0.027223,-0.027326,-0.027334,-0.027197,-0.027203,-0.027246,-0.027253,-0.02722,-0.027375,-0.027305,-0.027173
4,-0.00026173,-0.00026173,-0.00023389,-0.00026451,-0.00026228,-0.00025426,-0.0002524,-0.00025911,-0.00025364,-0.00025878,-0.00026115,-0.00026375,-0.00025844,-0.00026147,-0.00025951,-0.0002628,-0.00026017,-0.00026136,-0.00026143,-0.00026006,-0.00025973,-0.00026142,-0.00026211,-0.00026211,-0.00026211,-0.00025894,-0.00026054,-0.00026122,-0.0002609,-0.00026054,-0.00026172,-0.00026148,-0.00026057,-0.00026035,-0.00026072,-0.00026097,-0.00026046,-0.00026225,-0.00026142,-0.00026014
5,0.018557,0.018557,0.025032,0.024061,0.02136,0.022063,0.022358,0.022042,0.02248,0.022189,0.022026,0.022126,0.022208,0.022229,0.022218,0.022129,0.022163,0.022082,0.022179,0.022165,0.022167,0.022189,0.022157,0.022157,0.022157,0.022151,0.022159,0.022148,0.022151,0.022144,0.022158,0.022145,0.022155,0.022151,0.022152,0.022152,0.02215,0.022153,0.022151,0.022153
6,0.024848,0.024848,0.028699,0.03057,0.02846,0.028791,0.029038,0.028897,0.029367,0.029171,0.029025,0.02907,0.029176,0.029205,0.029188,0.029096,0.029133,0.029052,0.029151,0.029139,0.029142,0.029161,0.029128,0.029128,0.029128,0.029123,0.029131,0.029122,0.029126,0.029119,0.029131,0.02912,0.02913,0.029123,0.029127,0.029126,0.029124,0.029125,0.029124,0.029125
7,-0.0040945,-0.0040945,-0.0061775,-0.0053095,-0.0048947,-0.0052118,-0.0051419,-0.0051335,-0.0052167,-0.0051272,-0.0051108,-0.0051168,-0.0051449,-0.0051533,-0.005158,-0.0051231,-0.0051359,-0.0051131,-0.0051401,-0.0051393,-0.0051393,-0.0051473,-0.0051368,-0.0051368,-0.0051368,-0.0051356,-0.0051384,-0.0051347,-0.0051365,-0.0051341,-0.0051374,-0.0051344,-0.0051374,-0.0051358,-0.0051365,-0.0051362,-0.0051358,-0.0051358,-0.0051357,-0.0051365
8,-0.00059606,-0.00059606,-0.00089106,-0.00074928,-0.00078538,-0.00083332,-0.0008091,-0.00082574,-0.0008241,-0.00082144,-0.00081975,-0.00081635,-0.0008241,-0.00082273,-0.00082463,-0.00082372,-0.00082379,-0.00082346,-0.000825,-0.0008245,-0.00082458,-0.0008248,-0.00082433,-0.00082433,-0.00082433,-0.00082385,-0.00082397,-0.00082418,-0.0008234,-0.0008238,-0.00082467,-0.00082369,-0.00082406,-0.00082394,-0.00082394,-0.00082411,-0.00082369,-0.00082449,-0.0008243,-0.00082371
9,-0.00010303,-0.00010303,-0.00012285,-0.00011133,-0.00010863,-0.00010819,-0.00010623,-0.0001066,-0.00010897,-0.00010655,-0.00010685,-0.00010606,-0.0001069,-0.00010747,-0.00010743,-0.00010626,-0.00010663,-0.0001059,-0.00010671,-0.00010679,-0.00010688,-0.00010698,-0.00010669,-0.0001067,-0.00010669,-0.00010666,-0.00010673,-0.00010663,-0.00010679,-0.00010668,-0.00010666,-0.00010672,-0.00010675,-0.00010666,-0.00010674,-0.00010671,-0.00010673,-0.00010665,-0.00010662,-0.0001067
