,0,1,2,3
0,52.525,56.208,53.371,53.362
1,-113.22,-116.32,-113.84,-113.82
2,-9.9196,-10.617,-10.367,-10.377
3,-0.1288,-0.13633,-0.1368,-0.13289
4,-9.3387e-05,-9.8281e-05,-0.00010023,-9.6752e-05
5,7.8658,7.9948,7.9429,7.9806
6,0.90736,0.88628,0.93679,0.92393
7,0.033021,0.027064,0.034742,0.02587
8,0.018565,0.025978,0.016543,0.025393
9,-0.00032286,-0.00029331,-6.4303e-05,7.0297e-05
10,0.00035361,0.00022749,0.00035325,0.0014297
11,0.00022101,0.00012366,3.8936e-05,0.00017183
12,3.3936e-05,1.0678e-05,2.404e-05,9.3355e-05
13,1.0733e-06,3.7112e-06,6.2161e-07,2.6184e-06
