,0,1,2,3,4,5,6,7,8
0,3.8901,3.2853,2.8682,2.8461,3.08,2.6196,2.7607,2.6739,2.6896
1,-20.665,-20.195,-19.666,-19.672,-19.873,-19.454,-19.572,-19.527,-19.525
2,-0.9962,-0.84649,-0.93522,-0.88928,-0.95901,-0.90445,-0.92917,-0.88795,-0.90711
3,-0.001216,-0.0010454,-0.0010968,-0.0010836,-0.0011712,-0.0010999,-0.0011238,-0.0010202,-0.0011008
4,-1.9651e-08,-1.7714e-08,-1.8149e-08,-1.7952e-08,-2.2636e-08,-1.968e-08,-1.8982e-08,-1.6974e-08,-1.7712e-08
5,2.027,1.9778,1.9895,1.987,1.9889,1.9704,1.9801,1.9853,1.9815
6,0.23729,0.26155,0.23345,0.22996,0.24787,0.23934,0.24095,0.23747,0.2423
7,0.015187,0.015449,0.0155,0.01062,0.012818,0.014137,0.013374,0.012619,0.011728
8,0.0041071,0.0024669,0.0039261,0.0059906,0.0053097,0.0020863,0.0031698,0.0035612,0.0055046
9,9.5929e-05,3.4702e-05,-4.466e-05,-1.7867e-05,4.1277e-05,6.0575e-05,0.00016769,0.00022086,-2.5191e-05
10,2.8312e-05,6.0951e-05,4.5018e-05,1.3089e-05,5.206e-05,1.8048e-06,1.7663e-05,2.9698e-05,7.4418e-06
11,3.4447e-05,3.7238e-06,4.7085e-05,1.3457e-06,5.4053e-06,,6.634e-06,6.2957e-06,
12,-2.4843e-06,,2.1109e-05,,,,,,
13,,,-1.4971e-05,,,,,,
14,,,-5.7759e-06,,,,,,
