,0,1,2,3
0,73.643,73.254,72.99,73.035
1,-149.69,-149.48,-149.22,-149.27
2,-12.38,-12.328,-12.324,-12.314
3,-0.16255,-0.16389,-0.16292,-0.16397
4,-0.00014531,-0.00014799,-0.00014598,-0.00014763
5,9.9321,9.9843,9.9658,9.9634
6,1.1224,1.1406,1.1455,1.1447
7,0.046214,0.047536,0.049645,0.049843
8,0.026058,0.027585,0.025358,0.024819
9,0.00075678,0.0015148,0.0017636,0.0019011
10,0.0024337,0.00069367,0.00077247,0.00067828
11,0.00017317,0.00014504,3.4587e-05,9.3204e-05
12,0.00014235,4.2812e-05,2.0382e-05,1.5079e-05
13,5.3885e-06,1.3297e-05,5.1405e-06,5.6023e-06
14,,8.911e-07,,
