,0,1,2,3,4
0,197.01,197.47,196.82,197.03,196.88
1,-197.08,-197.79,-197.06,-197.19,-197.04
2,-8.0405,-7.7935,-7.8812,-7.963,-7.9604
3,-0.086908,-0.080636,-0.082362,-0.083589,-0.083784
4,-0.00078216,-0.00075131,-0.00074972,-0.00076163,-0.00076423
5,-0.0068245,-0.0069129,-0.0068738,-0.0068999,-0.0068906
6,-0.0051614,-0.0052398,-0.0052157,-0.0052329,-0.0052271
7,2.8817e-05,2.8587e-05,2.8619e-05,2.8402e-05,2.8544e-05
8,-1.2935e-05,-1.3108e-05,-1.3094e-05,-1.3123e-05,-1.3103e-05
9,3.1902e-06,3.2387e-06,3.2813e-06,3.3119e-06,3.3038e-06
