,0,1,2,3,4,5,6
0,92.144,91.386,91.917,91.99,92.057,91.787,91.932
1,-91.464,-90.659,-91.188,-91.248,-91.309,-91.046,-91.182
2,-3.7751,-3.7941,-3.7912,-3.8047,-3.8116,-3.804,-3.8137
3,-0.013242,-0.013317,-0.013463,-0.013585,-0.013576,-0.01353,-0.013601
4,-3.2804e-05,-3.3245e-05,-3.423e-05,-3.4366e-05,-3.4242e-05,-3.431e-05,-3.4446e-05
5,-0.0025015,-0.0025837,-0.0025987,-0.0025922,-0.0025919,-0.0025917,-0.0025919
6,-0.0019142,-0.0019758,-0.0019832,-0.0019779,-0.0019784,-0.0019787,-0.0019786
7,1.071e-05,1.1598e-05,1.1724e-05,1.1686e-05,1.1706e-05,1.1722e-05,1.1703e-05
8,-6.3774e-06,-6.4999e-06,-6.52e-06,-6.5053e-06,-6.5027e-06,-6.5026e-06,-6.5059e-06
