,0,1,2,3,4
0,198.53,195.22,196.32,197.14,196.58
1,-198.83,-195.31,-196.47,-197.35,-196.85
2,-7.7315,-8.0203,-7.9756,-7.9132,-7.8561
3,-0.083097,-0.085881,-0.085155,-0.082778,-0.08199
4,-0.00077157,-0.00075458,-0.00076536,-0.00076581,-0.00075223
5,-0.0071545,-0.0069959,-0.0068479,-0.0069163,-0.0068809
6,-0.0054308,-0.0053129,-0.0051945,-0.0052468,-0.0052198
7,3.0081e-05,2.8157e-05,2.921e-05,2.856e-05,2.8854e-05
8,-1.2113e-05,-1.3345e-05,-1.2843e-05,-1.3162e-05,-1.3008e-05
9,-8.2191e-07,3.3035e-06,3.1682e-06,3.3265e-06,3.2728e-06
