,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,35.726,35.16,35.16,35.16,36.486,36.486,35.365,34.755,34.755,35.699,35.699,34.96,35.223,35.223,35.673,35.673,34.765,34.765,35.52,35.52,35.014,34.787,34.787,35.187,35.275,34.959,34.959,35.237,35.121,35.042,34.929,35.167,35.167,34.999,35.201,35.201,35.201,35.147,35.149,35.149,35.149,35.056,35.056,35.056,35.125,35.125,35.125,35.125,35.152,35.152,35.057,35.195,35.195,35.195,35.195,35.149,35.149,35.149,35.161,35.108,35.108,35.108,35.1,35.206,35.206,35.206,35.206,35.231,35.231,35.231,35.231,35.231,35.218,35.197,35.197,35.197,35.223,35.163,35.163,35.163,35.163,35.163,35.163,35.094,35.094,35.094,35.094,35.094
1,-40.972,-40.305,-40.305,-40.305,-41.496,-41.496,-40.431,-39.863,-39.863,-40.779,-40.779,-40.109,-40.334,-40.334,-40.789,-40.789,-39.923,-39.923,-40.644,-40.644,-40.161,-39.937,-39.937,-40.326,-40.415,-40.109,-40.109,-40.384,-40.261,-40.198,-40.1,-40.3,-40.3,-40.149,-40.336,-40.336,-40.336,-40.292,-40.289,-40.289,-40.289,-40.205,-40.205,-40.205,-40.265,-40.265,-40.265,-40.265,-40.284,-40.284,-40.205,-40.333,-40.333,-40.333,-40.333,-40.285,-40.285,-40.285,-40.295,-40.254,-40.254,-40.254,-40.24,-40.345,-40.345,-40.345,-40.345,-40.364,-40.364,-40.364,-40.364,-40.364,-40.354,-40.337,-40.337,-40.337,-40.361,-40.302,-40.302,-40.302,-40.302,-40.302,-40.302,-40.238,-40.238,-40.238,-40.238,-40.238
2,-1.3482,-1.4273,-1.4273,-1.4273,-1.5618,-1.5618,-1.5051,-1.4645,-1.4645,-1.4928,-1.4928,-1.4222,-1.4608,-1.4608,-1.4564,-1.4564,-1.4141,-1.4141,-1.4485,-1.4485,-1.426,-1.4222,-1.4222,-1.4326,-1.4322,-1.4229,-1.4229,-1.4248,-1.4323,-1.4159,-1.4017,-1.4386,-1.4386,-1.4216,-1.4368,-1.4368,-1.4368,-1.4272,-1.4327,-1.4327,-1.4327,-1.4233,-1.4233,-1.4233,-1.4314,-1.4314,-1.4314,-1.4314,-1.4405,-1.4405,-1.4242,-1.4337,-1.4337,-1.4337,-1.4337,-1.4362,-1.4362,-1.4362,-1.4386,-1.426,-1.426,-1.426,-1.4319,-1.4332,-1.4332,-1.4332,-1.4332,-1.4387,-1.4387,-1.4387,-1.4387,-1.4387,-1.4367,-1.432,-1.432,-1.432,-1.4342,-1.4327,-1.4327,-1.4327,-1.4327,-1.4327,-1.4327,-1.428,-1.428,-1.428,-1.428,-1.428
3,-0.002278,-0.0032318,-0.0032318,-0.0032318,-0.0035186,-0.0035186,-0.0033499,-0.0029522,-0.0029522,-0.0032136,-0.0032136,-0.0029378,-0.0030151,-0.0030151,-0.0029518,-0.0029518,-0.0029304,-0.0029304,-0.0029932,-0.0029932,-0.0029515,-0.002936,-0.002936,-0.0029311,-0.0029638,-0.0028695,-0.0028695,-0.0028351,-0.0029124,-0.0029115,-0.0028492,-0.002976,-0.002976,-0.0028874,-0.002923,-0.002923,-0.002923,-0.0029058,-0.0029566,-0.0029566,-0.0029566,-0.0028938,-0.0028938,-0.0028938,-0.002925,-0.002925,-0.002925,-0.002925,-0.0029703,-0.0029703,-0.002925,-0.0029293,-0.0029293,-0.0029293,-0.0029293,-0.0029305,-0.0029305,-0.0029305,-0.0029616,-0.0029244,-0.0029244,-0.0029244,-0.0029276,-0.0029262,-0.0029262,-0.0029262,-0.0029262,-0.0029282,-0.0029283,-0.0029282,-0.0029282,-0.0029283,-0.0029324,-0.0029353,-0.0029353,-0.0029353,-0.0029323,-0.0029269,-0.0029269,-0.0029269,-0.0029269,-0.0029269,-0.0029269,-0.0029193,-0.0029193,-0.0029193,-0.0029193,-0.0029193
4,-5.7377e-06,-1.2247e-05,-1.2247e-05,-1.2247e-05,-1.2764e-05,-1.2764e-05,-1.0578e-05,-8.6055e-06,-8.6054e-06,-1.0922e-05,-1.0922e-05,-9.447e-06,-9.1439e-06,-9.1439e-06,-9.032e-06,-9.032e-06,-9.6059e-06,-9.6059e-06,-9.6549e-06,-9.6549e-06,-9.6042e-06,-9.5687e-06,-9.5687e-06,-9.4115e-06,-9.7199e-06,-9.0387e-06,-9.0387e-06,-8.9169e-06,-9.33e-06,-9.4567e-06,-9.1633e-06,-9.5565e-06,-9.5565e-06,-9.2036e-06,-9.3113e-06,-9.3113e-06,-9.3113e-06,-9.3059e-06,-9.542e-06,-9.5419e-06,-9.542e-06,-9.1882e-06,-9.1887e-06,-9.1882e-06,-9.4098e-06,-9.4098e-06,-9.4095e-06,-9.4095e-06,-9.5986e-06,-9.5978e-06,-9.4044e-06,-9.3986e-06,-9.3984e-06,-9.3986e-06,-9.3984e-06,-9.4085e-06,-9.4085e-06,-9.4085e-06,-9.5375e-06,-9.3234e-06,-9.3234e-06,-9.3234e-06,-9.3766e-06,-9.3477e-06,-9.3477e-06,-9.3476e-06,-9.3476e-06,-9.363e-06,-9.3638e-06,-9.363e-06,-9.363e-06,-9.3638e-06,-9.3575e-06,-9.4559e-06,-9.4559e-06,-9.4559e-06,-9.3757e-06,-9.3855e-06,-9.3853e-06,-9.3853e-06,-9.3853e-06,-9.3855e-06,-9.3853e-06,-9.3045e-06,-9.3045e-06,-9.3045e-06,-9.3045e-06,-9.3045e-06
5,0.49172,0.49455,0.49455,0.49455,0.49414,0.49414,0.4942,0.49419,0.49419,0.49424,0.49424,0.49427,0.49423,0.49423,0.49422,0.49422,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423,0.49423
6,0.049292,0.050021,0.050021,0.050021,0.049922,0.049922,0.049954,0.049914,0.049914,0.049935,0.049935,0.04995,0.049938,0.049938,0.049953,0.049953,0.049932,0.049932,0.049933,0.049933,0.049934,0.049932,0.049932,0.049941,0.049935,0.049933,0.049933,0.04993,0.049934,0.049934,0.049937,0.049937,0.049937,0.049934,0.049934,0.049934,0.049934,0.049934,0.049934,0.049934,0.049934,0.049934,0.049934,0.049934,0.049933,0.049933,0.049933,0.049933,0.049938,0.049938,0.049934,0.049935,0.049935,0.049935,0.049935,0.049934,0.049934,0.049934,0.049938,0.049933,0.049933,0.049933,0.049941,0.049934,0.049934,0.049934,0.049934,0.049933,0.049933,0.049933,0.049933,0.049933,0.049941,0.049938,0.049938,0.049938,0.049934,0.049933,0.049933,0.049933,0.049933,0.049933,0.049933,0.049933,0.049933,0.049933,0.049933,0.049933
7,-0.0063632,-0.0043229,-0.0043229,-0.0043229,-0.0043034,-0.0043034,-0.0043013,-0.004318,-0.004318,-0.0043166,-0.0043166,-0.0043136,-0.0043164,-0.0043164,-0.0043114,-0.0043114,-0.0043083,-0.0043083,-0.0043072,-0.0043072,-0.0043073,-0.0043066,-0.0043066,-0.0043135,-0.0043072,-0.0043069,-0.0043069,-0.0043074,-0.0043128,-0.0043071,-0.0043137,-0.0043123,-0.0043123,-0.0043073,-0.004307,-0.004307,-0.004307,-0.0043137,-0.0043079,-0.0043079,-0.0043079,-0.0043072,-0.0043072,-0.0043072,-0.0043077,-0.0043077,-0.0043077,-0.0043077,-0.0043132,-0.0043132,-0.0043075,-0.0043077,-0.0043077,-0.0043077,-0.0043077,-0.004307,-0.004307,-0.004307,-0.0043135,-0.0043072,-0.0043072,-0.0043072,-0.0043141,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043075,-0.0043075,-0.0043075,-0.0043075,-0.0043075,-0.0043142,-0.0043131,-0.0043131,-0.0043131,-0.0043076,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074,-0.0043074
8,-0.00083334,-0.00094649,-0.00094649,-0.00094649,-0.0008691,-0.0008691,-0.00086656,-0.00085812,-0.00085812,-0.00086545,-0.00086545,-0.00086379,-0.00086423,-0.00086423,-0.00087422,-0.00087422,-0.00086402,-0.00086402,-0.00086539,-0.00086539,-0.00086491,-0.00086655,-0.00086655,-0.00086635,-0.00086774,-0.00086658,-0.00086658,-0.00086415,-0.00086395,-0.00086694,-0.00086712,-0.00086714,-0.00086714,-0.00086684,-0.000868,-0.000868,-0.000868,-0.00086668,-0.00086551,-0.00086551,-0.00086551,-0.00086742,-0.00086742,-0.00086742,-0.00086562,-0.00086562,-0.00086562,-0.00086562,-0.00086704,-0.00086704,-0.00086729,-0.00086722,-0.00086722,-0.00086722,-0.00086722,-0.00086767,-0.00086767,-0.00086767,-0.00086747,-0.00086708,-0.00086708,-0.00086708,-0.00086791,-0.00086695,-0.00086695,-0.00086695,-0.00086695,-0.00086631,-0.00086631,-0.00086631,-0.00086631,-0.00086631,-0.00086796,-0.00086797,-0.00086797,-0.00086797,-0.00086713,-0.00086661,-0.00086661,-0.00086661,-0.00086661,-0.00086661,-0.00086661,-0.00086658,-0.00086658,-0.00086658,-0.00086658,-0.00086658
9,-0.00016151,3.3168e-05,3.3168e-05,3.3168e-05,-3.3203e-05,-3.3203e-05,-4.3719e-05,-4.4385e-05,-4.4385e-05,-4.1073e-05,-4.1073e-05,-4.7077e-05,-4.1566e-05,-4.1566e-05,-4.1e-05,-4.1e-05,-3.8736e-05,-3.8736e-05,-3.9477e-05,-3.9477e-05,-3.9633e-05,-3.8336e-05,-3.8336e-05,-4.2986e-05,-3.81e-05,-3.8279e-05,-3.8279e-05,-3.9339e-05,-4.3097e-05,-3.8638e-05,-4.1878e-05,-4.2033e-05,-4.2033e-05,-3.8236e-05,-3.7797e-05,-3.7797e-05,-3.7797e-05,-4.0376e-05,-3.8975e-05,-3.8975e-05,-3.8975e-05,-3.8142e-05,-3.8141e-05,-3.8142e-05,-3.8893e-05,-3.8893e-05,-3.8893e-05,-3.8893e-05,-4.1877e-05,-4.1877e-05,-3.8202e-05,-3.8304e-05,-3.8304e-05,-3.8304e-05,-3.8304e-05,-3.8037e-05,-3.8037e-05,-3.8037e-05,-4.1283e-05,-3.8027e-05,-3.8027e-05,-3.8027e-05,-4.386e-05,-3.8382e-05,-3.8382e-05,-3.8382e-05,-3.8382e-05,-3.8615e-05,-3.8615e-05,-3.8615e-05,-3.8615e-05,-3.8615e-05,-4.3284e-05,-4.0539e-05,-4.0539e-05,-4.0539e-05,-3.8316e-05,-3.8375e-05,-3.8375e-05,-3.8375e-05,-3.8375e-05,-3.8375e-05,-3.8375e-05,-3.8414e-05,-3.8414e-05,-3.8414e-05,-3.8414e-05,-3.8414e-05
