,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,100.62,100.62,103.36,103.36,104.57,102.07,103.92,101.8,101.8,102.28,102.28,102.28,102.25,101.53,102.08,102.08,102.28,101.83,101.83,101.83,102.21,102.21,102.58,102.58,101.78,101.87,101.87,101.95,101.95,101.95,102.23,102.23,102.22,102.22,102.22,102.12,102.12,102.31,102.31,102.31,102.31,102.24,102.2,102.2,101.95,101.95,101.95,101.95,101.95,101.95,102.06
1,-111.67,-111.67,-113.93,-113.93,-115.03,-112.89,-114.2,-112.75,-112.75,-112.91,-112.91,-112.91,-112.94,-112.3,-112.63,-112.63,-112.92,-112.49,-112.49,-112.49,-112.91,-112.91,-113.17,-113.17,-112.46,-112.57,-112.57,-112.61,-112.61,-112.61,-112.88,-112.88,-112.84,-112.84,-112.84,-112.76,-112.76,-112.93,-112.93,-112.93,-112.93,-112.87,-112.83,-112.83,-112.6,-112.6,-112.6,-112.6,-112.6,-112.6,-112.73
2,-8.5469,-8.5469,-9.0749,-9.0749,-9.1714,-8.8132,-9.3599,-8.6932,-8.6932,-9.0034,-9.0034,-9.0034,-8.9461,-8.8669,-9.0858,-9.0858,-9.0008,-8.9792,-8.9792,-8.9792,-8.9311,-8.9311,-9.0424,-9.0424,-8.9519,-8.9279,-8.9279,-8.9782,-8.9782,-8.9782,-8.9873,-8.9873,-9.011,-9.011,-9.011,-8.9906,-8.9906,-9.0147,-9.0147,-9.0147,-9.0147,-8.9989,-9.0063,-9.0063,-8.9906,-8.9906,-8.9906,-8.9906,-8.9906,-8.9906,-8.957
3,-0.081312,-0.081312,-0.085332,-0.085332,-0.09028,-0.085047,-0.090076,-0.084147,-0.084147,-0.089018,-0.089018,-0.089018,-0.086863,-0.08624,-0.088788,-0.088788,-0.088738,-0.088255,-0.088255,-0.088255,-0.087028,-0.087028,-0.088052,-0.088052,-0.087886,-0.087086,-0.087086,-0.087378,-0.087378,-0.087378,-0.087821,-0.087821,-0.08788,-0.08788,-0.08788,-0.087755,-0.087755,-0.088011,-0.088011,-0.088011,-0.088011,-0.087803,-0.087952,-0.087952,-0.088075,-0.088075,-0.088075,-0.088075,-0.088075,-0.088075,-0.08734
4,-0.0014891,-0.0014891,-0.0015288,-0.0015288,-0.0017112,-0.0015965,-0.0016694,-0.0015665,-0.0015665,-0.0016985,-0.0016985,-0.0016985,-0.001616,-0.00163,-0.0016708,-0.0016708,-0.0016813,-0.0016586,-0.0016586,-0.0016586,-0.0016327,-0.0016327,-0.0016441,-0.0016441,-0.0016572,-0.0016342,-0.0016342,-0.0016279,-0.0016279,-0.0016279,-0.0016377,-0.0016377,-0.0016394,-0.0016394,-0.0016394,-0.0016402,-0.0016402,-0.0016441,-0.0016441,-0.0016441,-0.0016441,-0.0016432,-0.0016401,-0.0016401,-0.0016484,-0.0016484,-0.0016484,-0.0016484,-0.0016484,-0.0016484,-0.0016367
5,1.5233,1.5233,1.4845,1.4845,1.4838,1.4849,1.484,1.4838,1.4838,1.4839,1.4839,1.4839,1.4837,1.4837,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838,1.4837,1.4837,1.4837,1.4837,1.4838,1.4837,1.4837,1.4838,1.4838,1.4838,1.4837,1.4837,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838,1.4837,1.4837,1.4837,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838,1.4838
6,0.15393,0.15393,0.1428,0.1428,0.14278,0.14308,0.14305,0.14298,0.14298,0.14304,0.14304,0.14304,0.14298,0.14297,0.14288,0.14288,0.14287,0.14294,0.14294,0.14294,0.143,0.143,0.14301,0.14301,0.14293,0.143,0.143,0.14293,0.14293,0.14293,0.143,0.143,0.14291,0.14291,0.14291,0.14295,0.14295,0.14291,0.14291,0.14291,0.14291,0.143,0.143,0.143,0.14294,0.14294,0.14294,0.14294,0.14294,0.14294,0.14291
7,-0.0094907,-0.0094907,-0.0092087,-0.0092087,-0.009115,-0.0092554,-0.0089824,-0.0090716,-0.0090716,-0.008977,-0.008977,-0.008977,-0.0090005,-0.0090112,-0.0090693,-0.0090693,-0.0090445,-0.0090343,-0.0090343,-0.0090343,-0.0090081,-0.0090081,-0.0090208,-0.0090208,-0.0090525,-0.0089974,-0.0089974,-0.0090208,-0.0090208,-0.0090208,-0.0090054,-0.0090054,-0.0090267,-0.0090267,-0.0090267,-0.0090243,-0.0090243,-0.0090398,-0.0090398,-0.0090398,-0.0090398,-0.009013,-0.0090031,-0.0090031,-0.0090305,-0.0090305,-0.0090305,-0.0090305,-0.0090305,-0.0090305,-0.0090433
8,0.00085014,0.00085014,0.0016723,0.0016723,0.0016306,0.0016043,0.001477,0.0015206,0.0015206,0.0014378,0.0014378,0.0014378,0.0014636,0.0014789,0.0015514,0.0015514,0.0015262,0.0014956,0.0014956,0.0014956,0.0014604,0.0014604,0.0014746,0.0014746,0.0015199,0.0014524,0.0014524,0.0014988,0.0014988,0.0014988,0.0014597,0.0014597,0.001505,0.001505,0.001505,0.0014922,0.0014922,0.0015142,0.0015142,0.0015142,0.0015142,0.0014673,0.0014603,0.0014603,0.001497,0.001497,0.001497,0.001497,0.001497,0.001497,0.001519
9,-0.002794,-0.002794,-0.0024466,-0.0024466,-0.0024015,-0.002434,-0.0024219,-0.0024429,-0.0024429,-0.0024774,-0.0024774,-0.0024774,-0.0024622,-0.002443,-0.0023974,-0.0023974,-0.0023994,-0.0024313,-0.0024313,-0.0024313,-0.0024624,-0.0024624,-0.0024548,-0.0024548,-0.0024235,-0.002462,-0.002462,-0.0024278,-0.0024278,-0.0024278,-0.002461,-0.002461,-0.0024238,-0.0024238,-0.0024238,-0.0024396,-0.0024396,-0.0024217,-0.0024217,-0.0024217,-0.0024217,-0.0024595,-0.0024612,-0.0024612,-0.0024328,-0.0024328,-0.0024328,-0.0024328,-0.0024328,-0.0024328,-0.0024174
10,4.6012e-05,4.6012e-05,5.466e-05,5.466e-05,6.5222e-05,5.3915e-05,7.2683e-05,5.5598e-05,5.5598e-05,6.3149e-05,6.3149e-05,6.3149e-05,5.7994e-05,6.5042e-05,7.1373e-05,7.1373e-05,7.296e-05,6.5394e-05,6.5393e-05,6.5394e-05,6.0098e-05,6.0098e-05,5.9131e-05,5.9131e-05,6.6256e-05,5.8677e-05,5.8677e-05,6.6986e-05,6.6986e-05,6.6986e-05,5.9037e-05,5.9037e-05,6.7766e-05,6.7766e-05,6.7766e-05,6.4032e-05,6.4032e-05,6.8343e-05,6.8343e-05,6.8343e-05,6.8343e-05,5.9021e-05,5.8873e-05,5.8873e-05,6.532e-05,6.532e-05,6.532e-05,6.532e-05,6.532e-05,6.532e-05,6.8821e-05
11,-1.6776e-05,-1.6776e-05,-1.446e-05,-1.446e-05,-7.4861e-06,-1.3394e-05,-6.1935e-06,-1.3286e-05,-1.3286e-05,-1.4665e-05,-1.4665e-05,-1.4665e-05,-1.4444e-05,-1.1569e-05,-6.401e-06,-6.401e-06,-6.468e-06,-1.0751e-05,-1.0751e-05,-1.0751e-05,-1.4541e-05,-1.4541e-05,-1.4554e-05,-1.4554e-05,-9.773e-06,-1.4526e-05,-1.4526e-05,-9.4353e-06,-9.4357e-06,-9.4357e-06,-1.4469e-05,-1.4469e-05,-9.0658e-06,-9.0658e-06,-9.0652e-06,-1.1548e-05,-1.1548e-05,-8.8634e-06,-8.8633e-06,-8.8634e-06,-8.8633e-06,-1.4503e-05,-1.4499e-05,-1.4499e-05,-1.0654e-05,-1.0655e-05,-1.0654e-05,-1.0655e-05,-1.0655e-05,-1.0654e-05,-8.5172e-06
12,-5.998e-06,-5.998e-06,-4.0028e-06,-4.0028e-06,,-3.8453e-06,,-3.9969e-06,-3.9969e-06,-4.1085e-06,-4.1085e-06,-4.1085e-06,-4.0051e-06,-2.8563e-06,,,,-2.5083e-06,-2.5086e-06,-2.5083e-06,-4.0868e-06,-4.0868e-06,-4.0989e-06,-4.0989e-06,,-4.0825e-06,-4.0825e-06,,,,-4.1183e-06,-4.1183e-06,,,,-2.8821e-06,-2.8821e-06,,,,,-4.1166e-06,-4.1093e-06,-4.1097e-06,-2.5157e-06,-2.5155e-06,-2.5157e-06,-2.5155e-06,-2.5155e-06,-2.5157e-06,
