,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,-4.3093,-3.0934,-3.4298,-3.6146,-3.4993,-3.5104,-3.4639,-3.4474,-3.5371,-3.4297,-3.5313,-3.4838,-3.4683,-3.3855,-3.3873,-3.4553,-3.4779,-3.4439
1,-5.9989,-7.2095,-6.8884,-6.6925,-6.8182,-6.8046,-6.8451,-6.8624,-6.7754,-6.8801,-6.7841,-6.8265,-6.8441,-6.9268,-6.9237,-6.8577,-6.8345,-6.8669
2,-0.076455,-0.11961,-0.10624,-0.10396,-0.10616,-0.10584,-0.11164,-0.11014,-0.10874,-0.11056,-0.10569,-0.10985,-0.10838,-0.10852,-0.1098,-0.10771,-0.10849,-0.10985
3,-8.2206e-06,-2.0022e-05,-1.5998e-05,-1.6695e-05,-1.8755e-05,-1.6283e-05,-1.9499e-05,-1.8141e-05,-1.9288e-05,-1.9049e-05,-1.7857e-05,-1.8589e-05,-1.818e-05,-1.8276e-05,-1.86e-05,-1.8204e-05,-1.8565e-05,-1.8746e-05
4,1.4126e-11,1.3486e-10,-3.0951e-11,-4.1936e-10,-6.9861e-11,-2.6606e-10,6.4404e-11,-5.3888e-11,-8.813e-10,-8.0504e-10,3.9111e-10,-1.0763e-10,-1.2898e-09,2.656e-10,-2.5602e-10,-2.4158e-12,5.6315e-10,6.2616e-10
5,1.4623,1.6902,1.6818,1.6642,1.6745,1.6787,1.6792,1.6758,1.6771,1.6764,1.6787,1.6781,1.6773,1.677,1.6774,1.6773,1.6776,1.6773
6,0.023549,0.035014,0.036188,0.028343,0.027268,0.028043,0.029317,0.029412,0.028129,0.028181,0.028535,0.028367,0.028671,0.028668,0.028442,0.028456,0.028493,0.028607
7,0.0074873,0.0059124,0.009331,0.0098231,0.0092374,0.0088265,0.0083075,0.0090207,0.009263,0.0092029,0.0085662,0.0085663,0.0089484,0.009101,0.0088856,0.0087211,0.008797,0.0089453
8,1.5683e-05,0.0041144,0.00087511,-4.2164e-05,4.4689e-05,0.00037781,0.00081053,0.00033404,0.00013774,0.00016192,0.00058806,0.00055473,0.00032577,0.00025129,0.00037044,0.00047672,0.00042107,0.00033102
9,5.9519e-05,0.00019771,8.7451e-05,4.6549e-05,6.9056e-05,5.7684e-05,0.00010104,6.3919e-05,7.0758e-05,7.2404e-05,6.289e-05,5.9946e-05,6.2687e-05,7.1599e-05,5.8563e-05,5.2626e-05,5.5005e-05,6.2985e-05
10,5.9314e-07,7.11e-05,2.4941e-06,-3.071e-07,6.6592e-07,2.8797e-06,1.4262e-06,3.949e-06,1.2553e-06,1.8751e-06,2.0029e-06,2.4731e-06,2.5049e-06,1.8934e-06,2.0873e-06,2.4092e-06,2.5625e-06,2.3745e-06
11,,-3.5078e-07,,,,,,,,,,,,,,,,
