,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-4.6034,-4.4529,-4.4564,-4.6492,-4.2765,-4.4963,-4.2818,-4.0138,-4.0501,-4.1083,-3.6508,-3.6174,-3.919,-3.545,-3.7713
1,-5.7127,-5.8938,-5.8565,-5.6938,-6.0791,-5.8492,-6.0748,-6.3389,-6.3047,-6.2467,-6.6812,-6.7115,-6.4314,-6.7783,-6.5708
2,-0.082512,-0.07471,-0.07492,-0.069544,-0.082175,-0.07172,-0.082739,-0.08473,-0.086599,-0.085076,-0.10204,-0.10365,-0.091081,-0.1049,-0.097251
3,-9.5836e-06,-6.9646e-06,-6.8047e-06,-6.7563e-06,-9.0247e-06,-6.5244e-06,-9.37e-06,-1.0045e-05,-1.0083e-05,-9.9562e-06,-1.5907e-05,-1.6244e-05,-1.1863e-05,-1.6789e-05,-1.376e-05
4,-6.8556e-10,4.4585e-10,8.1499e-10,2.1518e-10,-5.1676e-10,7.2362e-10,2.0691e-11,-5.9845e-10,1.022e-10,-5.1145e-10,-8.19e-10,1.6996e-11,-3.3509e-11,3.6607e-10,1.9676e-10
5,1.4263,1.4606,1.4154,1.441,1.5312,1.4636,1.5347,1.5338,1.552,1.5501,1.6407,1.6463,1.5898,1.6593,1.6138
6,0.029352,0.059809,0.044519,0.048394,0.042701,0.044973,0.039876,0.040587,0.03775,0.039001,0.031676,0.030801,0.035675,0.03003,0.033557
7,0.009158,0.007179,0.0092913,0.011098,0.0085943,0.0098015,0.0098659,0.0090113,0.0092918,0.0096034,0.0086689,0.008874,0.0091759,0.0087217,0.0090372
8,-3.9312e-05,0.0042418,0.00043766,-0.00010792,0.0013502,0.00033074,0.00023389,0.00084317,0.00044181,0.00032922,0.00062372,0.00042564,0.00045397,0.00049224,0.00045504
9,4.5856e-05,0.0001191,8.7368e-05,6.9033e-05,7.9993e-05,0.00010447,9.1229e-05,7.5588e-05,8.8892e-05,9.887e-05,6.2162e-05,6.7568e-05,8.6074e-05,6.1078e-05,7.7188e-05
10,3.9036e-06,2.8659e-05,1.1814e-05,7.1587e-07,1.1873e-05,4.1267e-06,3.5099e-06,6.7324e-06,5.0086e-06,3.7418e-06,4.5876e-06,4.075e-06,4.5476e-06,4.0645e-06,4.3773e-06
11,,-5.3326e-07,2.0383e-08,,1.7899e-07,,,,,,,,,,
