,0,1,2,3,4,5
0,-4.9389,-5.1736,-4.7274,-4.6957,-5.23,-5.1812
1,-5.1165,-4.896,-5.5373,-5.5441,-5.0523,-5.0865
2,-0.057932,-0.043557,-0.04996,-0.054777,-0.05189,-0.054071
3,-2.7526e-06,-2.575e-06,-2.3994e-06,-3.1475e-06,-3.2448e-06,-3.4413e-06
4,3.2912e-10,6.1351e-10,-3.9279e-10,1.5035e-10,-6.9264e-10,-9.7609e-10
5,1.2408,1.1084,1.4005,1.2637,1.3293,1.2927
6,0.11139,0.019376,0.061443,0.038875,0.07045,0.066667
7,0.014828,0.0076044,0.0010945,0.011052,0.0088063,0.012544
8,0.00097458,-3.8429e-05,0.010027,0.00011933,0.0034576,-0.00011473
9,2.781e-05,1.9582e-05,0.00014092,1.0943e-05,2.6794e-05,6.1559e-05
10,6.4672e-06,-1.9084e-07,0.00018543,1.111e-07,1.2099e-05,-1.1292e-06
11,,,1.0201e-05,,7.3763e-08,
12,,,2.3772e-06,,,
