,0,1,2,3,4,5,6,7,8,9
0,44.562,44.339,44.098,44.139,44.232,44.332,44.216,44.195,44.122,44.18
1,-69.971,-69.741,-69.516,-69.559,-69.651,-69.746,-69.637,-69.618,-69.549,-69.596
2,-1.985,-1.9894,-1.9588,-1.9668,-1.9737,-1.9794,-1.9733,-1.9727,-1.9677,-1.9768
3,-0.0015839,-0.0015707,-0.0015313,-0.0015425,-0.0015449,-0.0015497,-0.0015515,-0.0015454,-0.0015443,-0.0015525
4,-2.2059e-07,-2.1553e-07,-2.1e-07,-2.1085e-07,-2.1374e-07,-2.1399e-07,-2.1488e-07,-2.139e-07,-2.126e-07,-2.1443e-07
5,0.98787,0.98406,0.98232,0.98674,0.98415,0.98265,0.98389,0.98359,0.98248,0.98315
6,0.39792,0.39413,0.38666,0.38373,0.38821,0.3861,0.38496,0.38657,0.38775,0.38675
7,0.0029043,0.0014898,0.0023369,0.00081864,0.00085653,0.0022024,0.0017266,0.0010939,0.0013819,0.0019198
8,0.00014783,0.0013732,0.00052492,0.0020865,0.0019933,0.00063204,0.0011174,0.0017966,0.0014696,0.00090093
9,6.5432e-06,-9.7002e-08,-1.2262e-08,6.1078e-07,-2.9465e-06,2.2432e-06,2.5276e-06,-1.3365e-06,-7.2639e-07,1.3938e-06
