,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,49.57,49.57,47.824,48.41,48.41,49.431,49.431,50.09,50.058,50.668,50.192,50.759,50.255,50.015,50.015,50.225,50.219,49.438,50.652,50.085,49.958,50.006,50.389,50.443,50.285,50.389,49.839,50.139,50.026,50.049,50.079,50.111,50.303,50.248,50.101,50.192,50.161,50.132,50.437,50.265,50.041,50.184,50.251,50.066,50.252,50.197,50.287,49.942,50.095
1,-90.977,-90.977,-88.425,-88.928,-88.928,-89.861,-89.861,-90.497,-90.374,-90.993,-90.514,-91.052,-90.586,-90.337,-90.337,-90.564,-90.493,-89.808,-90.914,-90.413,-90.284,-90.326,-90.722,-90.754,-90.614,-90.696,-90.167,-90.463,-90.361,-90.387,-90.415,-90.442,-90.607,-90.576,-90.425,-90.516,-90.491,-90.456,-90.747,-90.601,-90.381,-90.508,-90.58,-90.403,-90.57,-90.532,-90.608,-90.287,-90.434
2,-3.8864,-3.8864,-3.8437,-3.9395,-3.9395,-3.9494,-3.9494,-3.9362,-4.0273,-4.0092,-4.0028,-4.0374,-3.9964,-4.0051,-4.0051,-3.9854,-4.0476,-3.9552,-4.0614,-3.9956,-3.9991,-4.0042,-3.9919,-4.0129,-3.9959,-4.018,-3.9958,-4.0007,-3.9892,-3.9868,-3.9891,-3.9928,-4.0203,-3.996,-3.9998,-3.9999,-3.9944,-4.0,-4.015,-3.9884,-3.9838,-4.0004,-3.9959,-3.9877,-4.0064,-3.9894,-4.004,-3.9792,-3.9857
3,-0.04317,-0.04317,-0.043008,-0.043759,-0.043759,-0.043498,-0.043498,-0.043576,-0.044844,-0.04473,-0.044189,-0.04523,-0.044755,-0.044873,-0.044873,-0.044324,-0.045481,-0.044169,-0.045471,-0.044559,-0.044592,-0.04461,-0.044402,-0.0447,-0.04454,-0.044823,-0.044639,-0.044541,-0.044442,-0.044397,-0.044491,-0.04452,-0.044984,-0.044523,-0.044628,-0.044593,-0.044578,-0.044625,-0.044769,-0.04446,-0.044394,-0.044598,-0.044558,-0.044382,-0.044736,-0.044451,-0.044715,-0.044307,-0.044394
4,-0.00063312,-0.00063312,-0.00062406,-0.00063377,-0.00063377,-0.00062979,-0.00062979,-0.00063163,-0.0006406,-0.00063998,-0.00063114,-0.00065027,-0.00064256,-0.0006456,-0.0006456,-0.00063397,-0.0006528,-0.00063413,-0.00065017,-0.00063808,-0.00064055,-0.00064016,-0.00063833,-0.00064242,-0.00063979,-0.00064256,-0.0006402,-0.00063918,-0.00063866,-0.00063609,-0.00063828,-0.00063899,-0.00064351,-0.00063937,-0.00063986,-0.00063906,-0.00063968,-0.00064049,-0.00064212,-0.00063844,-0.00063787,-0.0006392,-0.00064033,-0.00063755,-0.0006417,-0.00063815,-0.00064121,-0.00063611,-0.00063713
5,0.024503,0.024503,0.02616,0.026245,0.026245,0.027058,0.027058,0.027503,0.027529,0.027652,0.027843,0.027681,0.027735,0.027781,0.027781,0.027675,0.02768,0.027835,0.027748,0.027832,0.027732,0.027788,0.027799,0.027816,0.027736,0.027792,0.027785,0.027764,0.027739,0.027782,0.027778,0.027819,0.027788,0.027798,0.027795,0.027791,0.027781,0.027795,0.027792,0.027797,0.027786,0.027791,0.027795,0.02779,0.027793,0.02779,0.027789,0.027789,0.02779
6,0.03429,0.03429,0.036087,0.035723,0.035723,0.03622,0.03622,0.036476,0.036481,0.036547,0.036638,0.036592,0.036595,0.036629,0.036629,0.036503,0.036483,0.03665,0.036555,0.036648,0.036551,0.036603,0.036631,0.036634,0.036558,0.036625,0.036612,0.036584,0.036566,0.036602,0.036599,0.036634,0.036609,0.036625,0.036618,0.036612,0.036607,0.036616,0.036611,0.036614,0.03661,0.03661,0.036616,0.03661,0.036613,0.03661,0.03661,0.036608,0.036613
7,-0.0051396,-0.0051396,-0.005964,-0.0061135,-0.0061135,-0.0063365,-0.0063365,-0.006469,-0.0064743,-0.0065049,-0.0065402,-0.0065246,-0.0065357,-0.0065399,-0.0065399,-0.0065014,-0.0064848,-0.0065468,-0.0065147,-0.0065434,-0.0065162,-0.0065322,-0.0065404,-0.0065359,-0.006514,-0.0065361,-0.0065339,-0.0065239,-0.0065193,-0.0065321,-0.0065301,-0.0065408,-0.0065322,-0.0065357,-0.0065347,-0.0065322,-0.0065327,-0.0065341,-0.0065322,-0.0065339,-0.0065324,-0.0065327,-0.0065336,-0.006533,-0.0065328,-0.0065328,-0.0065324,-0.0065319,-0.0065338
8,-0.00092419,-0.00092419,-0.00098444,-0.001004,-0.001004,-0.0010216,-0.0010216,-0.0010288,-0.001035,-0.0010414,-0.0010474,-0.0010427,-0.0010367,-0.0010445,-0.0010445,-0.0010407,-0.0010486,-0.0010478,-0.0010529,-0.0010477,-0.0010461,-0.0010471,-0.0010455,-0.0010494,-0.0010479,-0.0010482,-0.0010466,-0.0010479,-0.0010458,-0.0010466,-0.0010462,-0.0010475,-0.0010478,-0.001048,-0.0010472,-0.0010482,-0.0010457,-0.0010479,-0.0010485,-0.0010477,-0.0010472,-0.0010475,-0.0010484,-0.001047,-0.0010484,-0.0010471,-0.0010477,-0.0010474,-0.0010467
9,-0.00013481,-0.00013481,-0.00015197,-0.00015327,-0.00015327,-0.00015574,-0.00015574,-0.00015812,-0.000157,-0.00015693,-0.00015594,-0.00015828,-0.00015821,-0.00015742,-0.00015742,-0.00015547,-0.00015357,-0.00015665,-0.0001545,-0.00015637,-0.00015548,-0.00015599,-0.00015708,-0.00015591,-0.00015529,-0.00015639,-0.00015644,-0.00015579,-0.00015581,-0.00015622,-0.00015614,-0.00015633,-0.00015609,-0.00015642,-0.00015626,-0.00015603,-0.00015637,-0.00015622,-0.00015604,-0.0001561,-0.00015617,-0.00015607,-0.00015608,-0.00015615,-0.00015604,-0.00015618,-0.00015612,-0.0001561,-0.00015628
