,0
0,773.95
1,-770.97
2,-83.616
3,-11.742
4,-0.94284
5,2.4642
6,0.63358
7,-0.040563
8,-0.023784
9,0.016775
10,0.0043425
11,0.0013539
12,-3.0713e-05
13,8.9035e-06
