,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,684.91,692.57,700.45,697.52,693.53,699.02,699.02,699.89,698.53,700.25,698.65,698.87,698.87,699.98,697.93,698.62,697.52,699.33,698.68,697.47,698.37,697.8,697.73,697.64,697.88,698.67,698.74,698.95,698.48,698.23,698.49,697.85,698.72,697.88,698.16,698.52
1,-700.44,-702.42,-709.4,-707.9,-704.37,-709.38,-709.38,-710.16,-708.62,-710.33,-708.87,-709.17,-709.17,-710.13,-708.18,-709.06,-707.86,-709.55,-708.93,-707.75,-708.71,-708.07,-708.06,-708.03,-708.28,-708.85,-708.99,-709.17,-708.8,-708.62,-708.73,-708.18,-708.98,-708.21,-708.45,-708.79
2,-30.182,-32.454,-33.469,-32.316,-31.925,-32.446,-32.446,-32.411,-32.644,-32.628,-32.493,-32.435,-32.435,-32.579,-32.489,-32.287,-32.386,-32.511,-32.479,-32.446,-32.391,-32.453,-32.397,-32.336,-32.338,-32.548,-32.482,-32.506,-32.41,-32.347,-32.489,-32.403,-32.469,-32.4,-32.44,-32.461
3,-0.63123,-0.71366,-0.71554,-0.6782,-0.67728,-0.68466,-0.68466,-0.6891,-0.68758,-0.68948,-0.68196,-0.68644,-0.68644,-0.68609,-0.68932,-0.68193,-0.68635,-0.68774,-0.6836,-0.68917,-0.68262,-0.68612,-0.68549,-0.68441,-0.68382,-0.68822,-0.68486,-0.68792,-0.68539,-0.68098,-0.68574,-0.68377,-0.68709,-0.68438,-0.68587,-0.68451
4,-0.016829,-0.020354,-0.025045,-0.024031,-0.021288,-0.0211,-0.0211,-0.019825,-0.022762,-0.019939,-0.01964,-0.020982,-0.020982,-0.022335,-0.021121,-0.020583,-0.020626,-0.020475,-0.021218,-0.021038,-0.020766,-0.021555,-0.021272,-0.020757,-0.020908,-0.021397,-0.021274,-0.021623,-0.020852,-0.020851,-0.021287,-0.020836,-0.02098,-0.02097,-0.021184,-0.021114
5,2.5186,1.9371,1.9183,1.9352,1.9528,1.9701,1.9701,1.9227,1.9436,1.9378,1.9437,1.9574,1.9574,1.9594,1.9646,1.9478,1.949,1.9576,1.9526,1.9556,1.9514,1.9537,1.953,1.953,1.9558,1.9524,1.9538,1.9539,1.9551,1.9555,1.9547,1.9532,1.9537,1.9543,1.9539,1.9539
6,0.081007,0.045247,0.033054,0.033021,0.033152,0.034332,0.034332,0.032292,0.031502,0.03258,0.031716,0.032418,0.032418,0.033131,0.032736,0.032151,0.032043,0.032781,0.032225,0.031841,0.03238,0.032378,0.032587,0.032282,0.03243,0.03227,0.032418,0.032335,0.032257,0.032135,0.032266,0.032417,0.032405,0.032278,0.032354,0.032296
7,0.025945,0.014226,0.019547,0.017548,0.019502,0.01981,0.01981,0.019005,0.019615,0.019599,0.019613,0.019566,0.019566,0.019715,0.019808,0.019624,0.019694,0.01975,0.019663,0.019633,0.019688,0.019651,0.019652,0.01966,0.019678,0.01968,0.019703,0.019663,0.019642,0.019648,0.019646,0.01967,0.019669,0.019657,0.019671,0.019662
8,0.0018736,0.0056916,-0.00045565,0.0016308,-0.00059026,-0.00054242,-0.00054242,0.00021738,-0.00034512,-0.00075528,-0.00054298,-0.0003767,-0.0003767,-0.00016077,-0.00055506,-0.00068192,-0.00021544,-0.00035948,-0.00068993,-0.00064536,-0.00028143,-0.00061411,-0.00066282,-3.0348e-05,-0.00067074,-2.3153e-05,-0.0002663,-6.8604e-05,-0.0002674,-1.7894e-05,-0.00029732,-0.00025921,-3.9596e-05,-8.8522e-05,-2.0026e-05,-0.00012551
9,-0.00041761,0.00099114,0.00032067,9.6379e-05,0.0005582,0.00052415,0.00052415,0.00012364,0.00031477,0.00074441,0.00050585,0.00047349,0.00047349,0.00013234,0.00053722,0.00068589,0.00018202,0.00033686,0.00067869,0.00063578,0.00025129,0.00060554,0.00065931,-4.6599e-06,0.00066328,-7.7339e-06,0.00024275,4.4705e-05,0.00024587,-1.0704e-05,0.00028063,0.00023461,1.7173e-05,6.3779e-05,-2.0081e-05,0.00010148
10,0.0014577,0.00074393,8.4022e-05,6.3355e-05,4.9956e-05,2.7467e-05,2.7467e-05,-4.9472e-06,1.2046e-05,1.1465e-05,-4.2317e-07,-1.5133e-06,-1.5133e-06,1.0877e-05,4.6662e-06,1.2015e-05,7.5412e-06,1.245e-05,4.5303e-06,1.0805e-05,4.023e-06,1.3008e-05,2.0958e-06,7.4432e-06,9.0518e-06,5.8044e-06,7.9153e-06,6.9284e-06,7.9504e-06,1.4721e-05,3.9085e-06,5.7994e-06,2.1126e-05,5.4215e-06,3.1448e-05,1.4794e-05
11,0.00054207,-3.5359e-05,4.2341e-05,-1.1782e-05,-2.838e-05,2.1986e-05,2.1986e-05,2.3474e-05,1.5042e-05,2.2021e-05,2.3008e-05,2.6254e-05,2.6254e-05,2.8424e-05,2.1542e-05,1.9339e-05,2.3682e-05,1.8594e-05,2.1259e-05,1.8343e-05,,1.4379e-05,2.3565e-05,2.6337e-05,1.6783e-05,2.7206e-05,,,,2.1324e-05,,,4.9167e-06,,1.1054e-05,1.0578e-05
