,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,613.88,631.24,612.02,624.14,624.14,618.34,620.62,620.29,620.29,621.92,618.94,624.84,621.03,621.62,621.04,622.09,621.57,623.27,623.54,623.54,620.23,621.79,622.65,621.06,622.97,620.96,620.73,621.24,622.33,621.53,622.5,621.28,621.96,622.02,622.02,621.59,621.59,621.45,621.5,621.5,621.5,621.36,621.36
1,-623.97,-635.96,-616.5,-628.97,-628.97,-623.48,-625.93,-626.16,-626.16,-627.44,-624.4,-629.62,-626.31,-627.13,-626.34,-627.59,-626.9,-628.51,-628.74,-628.74,-625.54,-627.02,-627.72,-626.29,-628.17,-626.19,-626.04,-626.51,-627.53,-626.76,-627.7,-626.54,-627.18,-627.25,-627.25,-626.91,-626.91,-626.73,-626.83,-626.83,-626.83,-626.65,-626.65
2,-32.64,-33.238,-32.381,-32.526,-32.526,-32.286,-32.164,-31.577,-31.577,-31.908,-31.978,-32.638,-32.157,-31.91,-32.143,-31.927,-32.088,-32.206,-32.229,-32.229,-32.116,-32.199,-32.348,-32.196,-32.234,-32.196,-32.125,-32.156,-32.228,-32.197,-32.226,-32.178,-32.215,-32.203,-32.203,-32.11,-32.11,-32.148,-32.103,-32.103,-32.103,-32.131,-32.131
3,-0.59571,-0.58775,-0.57499,-0.56317,-0.56317,-0.57548,-0.56547,-0.54646,-0.54646,-0.55718,-0.55818,-0.57392,-0.56472,-0.55714,-0.56423,-0.55794,-0.56173,-0.56167,-0.56268,-0.56268,-0.56094,-0.5625,-0.56872,-0.56545,-0.56353,-0.56292,-0.56138,-0.5609,-0.56478,-0.56458,-0.56427,-0.56248,-0.56271,-0.56393,-0.56393,-0.56123,-0.56123,-0.5624,-0.56082,-0.56082,-0.56082,-0.56165,-0.56165
4,-0.017204,-0.015836,-0.016608,-0.015665,-0.015665,-0.016209,-0.016111,-0.015693,-0.015693,-0.015953,-0.016122,-0.016342,-0.016217,-0.015907,-0.016129,-0.016257,-0.016195,-0.015943,-0.016183,-0.016183,-0.016183,-0.016096,-0.016297,-0.016237,-0.016171,-0.016119,-0.016075,-0.016102,-0.016191,-0.01618,-0.01621,-0.016133,-0.016124,-0.0162,-0.0162,-0.016101,-0.016101,-0.016185,-0.016118,-0.016118,-0.016118,-0.016123,-0.016123
5,2.8457,1.5757,1.589,1.6532,1.6532,1.6649,1.7321,1.7605,1.7605,1.7138,1.7057,1.7365,1.7324,1.7068,1.7226,1.7033,1.717,1.7199,1.6977,1.6977,1.7197,1.7113,1.7123,1.712,1.7131,1.7135,1.7253,1.7162,1.7133,1.7161,1.7141,1.7153,1.7157,1.7136,1.7136,1.7132,1.7132,1.7142,1.7171,1.7171,1.7171,1.7128,1.7128
6,0.066424,0.025706,0.022819,0.027181,0.027181,0.02526,0.024712,0.025038,0.025038,0.025279,0.023277,0.024275,0.024715,0.022905,0.024333,0.024017,0.024163,0.0253,0.024359,0.024359,0.024831,0.023947,0.024235,0.024762,0.024109,0.024386,0.024173,0.024511,0.024967,0.024942,0.024282,0.024125,0.024279,0.024495,0.024495,0.023995,0.023995,0.024536,0.024433,0.024433,0.024433,0.024538,0.024538
7,0.026544,0.016039,0.012364,0.010262,0.010262,0.015422,0.01644,0.014759,0.014759,0.017029,0.016984,0.017331,0.016849,0.015539,0.016636,0.01661,0.017023,0.017274,0.016493,0.016493,0.016894,0.017091,0.017158,0.017153,0.017153,0.017164,0.017177,0.017142,0.017198,0.017188,0.017122,0.017097,0.017174,0.017176,0.017176,0.017106,0.017106,0.017168,0.017135,0.017135,0.017135,0.017173,0.017173
8,0.0047451,0.00065364,0.0039519,0.0029965,0.0029965,0.0011373,0.00076936,0.0028802,0.0028802,-0.00065598,-0.00049689,-0.0014548,0.00022592,0.0014583,0.00043904,0.00025317,-0.0007274,-0.0001891,0.00043468,0.00043468,-0.00012543,-0.001202,-0.0011253,-0.001006,-0.00020471,-0.00090899,-0.0003932,-0.0010574,-0.00072762,-0.00038057,-0.0011441,-0.0009847,-0.00092312,-0.00026926,-0.00026926,-0.0010489,-0.0010489,-0.00025269,-0.0011311,-0.0011311,-0.0011311,-0.00072603,-0.00072603
9,-0.0013214,0.00093937,-0.00015597,0.00030596,0.00030596,0.00030841,0.00026398,0.00026031,0.00026031,0.00062123,0.00052613,0.0016265,0.00024092,0.00020971,0.00021804,0.00037392,0.00084346,0.00020365,0.00020625,0.00020625,0.00040616,0.001306,0.00117,0.0010459,0.00012299,0.00089409,0.00028892,0.0010792,0.00077532,0.00031115,0.0011866,0.0010955,0.00093734,0.00019737,0.00019737,0.0011158,0.0011158,0.00028968,0.0011681,0.0011681,0.0011681,0.00072752,0.00072752
