,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,843.69,833.23,857.98,856.68,850.63,848.97,854.09,852.41,855.48,848.93,853.83,853.72,853.14,853.23,853.95,850.74,853.01,851.69,853.05,852.51,851.8,852.66,851.39,852.6,851.8,852.73,853.66,851.71,851.46,851.94,852.23,852.06
1,-865.74,-852.14,-877.34,-876.38,-870.59,-868.68,-873.47,-871.48,-874.72,-868.23,-872.87,-872.88,-872.26,-872.29,-872.93,-869.98,-872.16,-870.83,-872.21,-871.63,-870.96,-871.74,-870.61,-871.83,-871.06,-871.89,-872.67,-870.82,-870.69,-871.13,-871.41,-871.21
2,-32.742,-33.751,-33.039,-34.053,-33.65,-33.748,-34.118,-34.426,-34.269,-34.182,-34.411,-34.328,-34.384,-34.419,-34.501,-34.249,-34.343,-34.346,-34.325,-34.366,-34.337,-34.41,-34.282,-34.265,-34.236,-34.338,-34.48,-34.372,-34.268,-34.299,-34.319,-34.351
3,-0.70701,-0.78486,-0.75126,-0.7923,-0.77954,-0.77965,-0.79586,-0.7906,-0.79063,-0.7954,-0.80013,-0.79807,-0.79511,-0.79635,-0.79938,-0.79562,-0.7955,-0.79419,-0.7959,-0.79618,-0.79652,-0.79854,-0.79459,-0.79301,-0.79395,-0.7959,-0.7994,-0.79941,-0.79497,-0.79738,-0.79734,-0.79616
4,-0.0075573,-0.011673,-0.0068994,-0.0075739,-0.0076657,-0.0084151,-0.0075075,-0.0082572,-0.00942,-0.0093278,-0.0097303,-0.0090852,-0.0092489,-0.0091511,-0.0090045,-0.0091016,-0.0089804,-0.0087162,-0.0087347,-0.0092688,-0.008859,-0.0092167,-0.0086787,-0.0083809,-0.0089465,-0.0087955,-0.0088932,-0.0088491,-0.0086804,-0.0089502,-0.0085782,-0.0089722
5,2.3339,2.0575,2.3656,2.4266,2.4097,2.5187,2.4869,2.5032,2.5148,2.438,2.4085,2.4524,2.4546,2.4287,2.4392,2.4357,2.4335,2.4282,2.4252,2.438,2.4383,2.4368,2.4383,2.4414,2.4401,2.4385,2.4405,2.4398,2.4455,2.4397,2.4418,2.4404
6,0.057176,0.05041,0.050773,0.043624,0.044156,0.045077,0.046711,0.044376,0.045555,0.044434,0.043462,0.0435,0.044308,0.043693,0.044032,0.044271,0.044462,0.04454,0.044528,0.044634,0.044142,0.044272,0.044208,0.044238,0.044508,0.044014,0.044471,0.044213,0.044303,0.044158,0.044015,0.044237
7,0.024944,0.021542,0.024429,0.024021,0.024111,0.024858,0.024935,0.024803,0.024891,0.024223,0.024037,0.024251,0.024353,0.024134,0.024182,0.024228,0.024261,0.024172,0.024211,0.024216,0.024208,0.024177,0.024219,0.024222,0.024251,0.024165,0.024228,0.024228,0.024258,0.024234,0.024194,0.02422
8,-0.00020562,-0.00063894,-0.00068076,-0.00024517,-0.00026507,-0.00030327,-0.00025832,-0.00024037,-0.00022471,-0.0002522,-0.00023176,-0.00023033,-0.00022959,-0.00023441,-0.00022791,-0.00022946,-0.00022984,-0.00022889,-0.00022831,-0.0002258,-0.00022788,-0.00022711,-0.00023079,-0.00022644,-0.00022523,-0.00022935,-0.00022598,-0.0002276,-0.00022619,-0.00022914,-0.00023027,-0.00022678
9,0.00020904,0.00069953,0.00048099,6.6797e-05,3.1068e-05,8.2888e-05,5.9539e-05,1.8286e-06,-3.5368e-07,2.5613e-05,-9.442e-07,-1.662e-06,5.3594e-06,2.1243e-06,-8.9653e-07,-1.6994e-06,8.1558e-07,-7.9443e-07,-2.6998e-06,-1.9941e-06,-1.0749e-06,-2.9963e-06,-7.1194e-08,-3.9032e-06,-6.0456e-07,-4.7782e-07,-3.6427e-06,-5.6929e-06,-4.0841e-06,-3.1979e-06,-2.0817e-06,-1.8612e-06
10,-3.9978e-05,-0.00012787,2.7386e-05,6.7427e-05,1.2758e-05,-3.6384e-06,-8.8398e-06,1.9845e-05,3.1651e-06,4.496e-06,,,1.1607e-05,,,,,,,,,,,,,,,,,,,
11,0.00010586,8.1156e-05,3.1225e-05,1.6654e-05,2.8577e-05,,,5.1876e-06,,,,,8.4459e-06,,,,,,,,,,,,,,,,,,,
12,9.9236e-06,1.0406e-05,1.0516e-05,-2.0799e-07,3.2308e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,-5.1804e-06,-4.323e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
