,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,450.97,465.66,464.31,462.17,460.86,461.72,463.56,459.07,461.25,460.29,461.37,462.48,461.36,462.17,462.03,462.32,461.93,463.11,461.12,462.92,461.46,462.91,462.53,462.63,462.44,462.75,462.21,462.21,462.15,462.39,462.49
1,-450.89,-464.86,-461.26,-459.62,-458.59,-458.69,-460.55,-456.71,-458.63,-457.66,-458.71,-459.89,-458.66,-459.47,-459.29,-459.59,-459.15,-460.39,-458.35,-459.91,-458.66,-460.09,-459.73,-459.77,-459.64,-459.93,-459.44,-459.43,-459.34,-459.59,-459.67
2,-28.899,-27.455,-29.818,-29.425,-29.114,-29.819,-29.81,-29.151,-29.421,-29.415,-29.453,-29.4,-29.51,-29.49,-29.542,-29.53,-29.57,-29.516,-29.563,-29.789,-29.589,-29.612,-29.59,-29.651,-29.595,-29.608,-29.568,-29.571,-29.599,-29.601,-29.616
3,-0.37184,-0.30079,-0.3555,-0.35087,-0.343,-0.36734,-0.36427,-0.3479,-0.34967,-0.3516,-0.3502,-0.35026,-0.35295,-0.35374,-0.3548,-0.35384,-0.35433,-0.35245,-0.35332,-0.35978,-0.35479,-0.35426,-0.35629,-0.35593,-0.35556,-0.35576,-0.35483,-0.35461,-0.35536,-0.35479,-0.35496
4,-0.00094196,-0.00084903,-0.00096022,-0.00093322,-0.00091418,-0.00097431,-0.00096198,-0.00093152,-0.00094276,-0.00094165,-0.00092865,-0.00092172,-0.00093102,-0.00094086,-0.00093521,-0.0009329,-0.00093315,-0.00093177,-0.00093908,-0.00094757,-0.00093442,-0.00093384,-0.00093966,-0.00093899,-0.00094235,-0.00094006,-0.00093914,-0.00093774,-0.00093869,-0.00093868,-0.00093762
5,1.5374,1.2099,1.1933,1.2415,1.2437,1.2544,1.2362,1.231,1.2519,1.2176,1.2335,1.2311,1.2324,1.2141,1.2215,1.2176,1.2178,1.2198,1.2196,1.2164,1.2173,1.2161,1.2218,1.2181,1.2171,1.2182,1.2191,1.2192,1.2207,1.2195,1.2197
6,0.055488,0.030464,0.023388,0.023836,0.024136,0.024159,0.023434,0.02272,0.02416,0.02248,0.022589,0.023037,0.023434,0.022721,0.023223,0.023232,0.022597,0.02267,0.023075,0.022899,0.022996,0.023053,0.022887,0.023169,0.02282,0.023041,0.023103,0.023016,0.023207,0.022991,0.023115
7,0.020724,0.014307,0.012309,0.012447,0.012531,0.012494,0.012498,0.01227,0.01266,0.012239,0.012297,0.012332,0.012401,0.012242,0.012278,0.012307,0.01223,0.012238,0.012288,0.012258,0.012285,0.012277,0.012273,0.012255,0.012263,0.012291,0.012301,0.012271,0.012302,0.01228,0.012282
8,-0.000134,-0.00020604,-5.9523e-05,-0.00018743,-0.00011205,1.9686e-05,-0.00012175,-0.00011868,-0.00011268,-0.00012478,-0.00013321,-0.00012447,-0.00012008,-0.00012585,-0.0001222,-0.00012299,-0.00012484,-0.00012718,-0.00012325,-0.00012545,-0.00012576,-0.00012317,-0.00012491,-0.00012186,-0.00012402,-0.00012416,-0.00012396,-0.00012498,-0.00012287,-0.0001246,-0.0001233
9,2.7386e-05,0.00016059,-1.983e-05,7.5792e-05,1.9751e-05,4.3382e-06,8.3679e-06,1.1785e-06,3.537e-06,9.0333e-06,1.1747e-05,8.3457e-06,3.8696e-06,5.7037e-06,4.9446e-06,5.5424e-06,4.8142e-06,4.7984e-06,5.189e-06,4.7495e-06,5.7364e-06,4.6259e-06,4.4123e-06,4.2269e-06,5.0011e-06,5.6282e-06,5.3928e-06,5.1977e-06,4.7134e-06,5.2271e-06,4.9032e-06
10,1.0281e-05,-3.2087e-05,-1.3943e-05,3.909e-06,4.0514e-06,-1.503e-06,,,,,1.2707e-05,,,,,,,,,,,,,,,,,,,,
11,1.7027e-05,5.0231e-05,2.6964e-06,,,,,,,,6.9283e-06,,,,,,,,,,,,,,,,,,,,
12,1.9664e-06,-1.5508e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
