,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,264.46,267.79,269.49,271.5,273.32,271.2,270.16,269.93,270.37,271.27,270.6,270.51,270.51,270.02,270.31,271.3,270.22,270.1,270.36,270.2,270.78,270.68,270.58,270.68,270.51,270.9
1,-265.69,-267.18,-268.72,-270.39,-271.94,-269.83,-269.41,-268.85,-269.34,-270.09,-269.43,-269.43,-269.35,-269.01,-269.25,-270.13,-269.15,-269.02,-269.28,-269.06,-269.65,-269.6,-269.48,-269.55,-269.36,-269.78
2,-16.219,-16.82,-16.79,-17.32,-17.524,-17.575,-16.936,-17.252,-17.195,-17.349,-17.325,-17.25,-17.327,-17.179,-17.232,-17.333,-17.238,-17.245,-17.245,-17.303,-17.289,-17.252,-17.269,-17.29,-17.31,-17.287
3,-0.10894,-0.11625,-0.11904,-0.1282,-0.12501,-0.12621,-0.11876,-0.12348,-0.12324,-0.12316,-0.12535,-0.12362,-0.12318,-0.12163,-0.12254,-0.12416,-0.12204,-0.12252,-0.12289,-0.12318,-0.12284,-0.12291,-0.12269,-0.12312,-0.12345,-0.12281
4,0.0047843,-6.8317e-05,-6.837e-05,-7.8065e-05,-7.3141e-05,-7.6595e-05,-7.1307e-05,-7.384e-05,-7.4027e-05,-7.4358e-05,-7.5785e-05,-7.4442e-05,-7.4221e-05,-7.3609e-05,-7.3972e-05,-7.4836e-05,-7.4093e-05,-7.4063e-05,-7.4049e-05,-7.4273e-05,-7.4123e-05,-7.4061e-05,-7.4023e-05,-7.4066e-05,-7.4387e-05,-7.4004e-05
5,1.087,0.70534,0.70861,0.7424,0.7028,0.74055,0.72652,0.71775,0.72686,0.72041,0.71614,0.73618,0.73021,0.72346,0.73045,0.72669,0.73129,0.72867,0.72935,0.73344,0.72796,0.73003,0.73066,0.72884,0.7278,0.73046
6,0.062967,0.021506,0.016194,0.016839,0.015929,0.018316,0.016424,0.015999,0.016506,0.016166,0.016092,0.016326,0.01658,0.016335,0.016405,0.016304,0.015987,0.016308,0.016301,0.016276,0.016251,0.016237,0.016194,0.016201,0.016161,0.016269
7,0.012903,0.0054176,0.0073078,0.0074427,0.006949,0.0077206,0.0073536,0.007147,0.0073291,0.0072898,0.0072558,0.0073824,0.0073455,0.0073264,0.0073296,0.0073342,0.0073158,0.0073193,0.007343,0.0073444,0.0073404,0.0073303,0.0073281,0.0073254,0.0073231,0.0073421
8,0.0005691,0.00097913,-3.5916e-05,-4.653e-05,-4.1403e-05,-4.3817e-05,-6.9234e-05,-5.9009e-05,-4.8496e-05,-6.2676e-05,-5.4743e-05,-5.3649e-05,-5.3407e-05,-5.5464e-05,-5.5263e-05,-5.3708e-05,-5.6608e-05,-5.568e-05,-5.5138e-05,-5.3856e-05,-5.6576e-05,-5.8578e-05,-5.6589e-05,-5.5685e-05,-5.6777e-05,-5.5776e-05
9,2.6073e-05,-3.8716e-05,-1.0734e-05,-4.987e-07,-9.6082e-06,1.3891e-06,1.8099e-07,8.9424e-06,-7.7018e-07,5.721e-06,6.9341e-06,3.6618e-06,3.1753e-06,4.3318e-06,4.8907e-06,5.5884e-06,4.7768e-06,6.8909e-06,6.5884e-06,3.7597e-06,6.7277e-06,6.847e-06,6.7784e-06,6.0536e-06,7.8572e-06,6.6618e-06
10,-7.5187e-08,1.2733e-05,6.7342e-07,,,,,,,,,,,,,,,,,,,,,,,
11,,6.4228e-06,,,,,,,,,,,,,,,,,,,,,,,,
